id,sourceId,locationId,typeId,price,rooms,bedrooms,bathrooms,totalArea,livingArea,plotArea,terraceArea,title,description,features,latitude,longitude,thumbnails
138,62.0,84.0,12.0,12500000.0,,6.0,6.0,1500.0,1500.0,117000.0,300.0,Impressive country estate in Puigpunyent in hotel standard,"This impressive country estate of 1500 sqm is set on a beautiful plot of 117.000 sqm with natural fields of olive, orange and oleander trees. The Manor House is estimated to be more than 200 years old, and has recently been completely refurbished inside and out. The overall concept is a tasteful mix of traditional and contemporary. High quality materials and hotel standard finishing and large dimensions with all the eight bedroom suites of around 45 sqm, all with en-suite bathrooms. All have lots of light with many windows or French doors overlooking spectacular scenery and courtyard. All floors have been renewed with aged wood and polished natural stone, in a soft colour and a warm texture.","Pool,Parking,Terrace,Golf,High End Selection,Shower,Bathtub,A/C,Heating,Fireplace,Garden,Storage",39.6272,2.52833,"29,272,928,292,929,300,000"
966,87.0,24.0,10.0,4900000.0,,7.0,6.0,,750.0,4300.0,250.0,Villa for sale in Sol de Mallorca,"The spacious and modern villa lies on grounds of 4300 m2 and has enormous covered terraces of 250 m2. It also has an extensive lush garden and 3 cascading, infinity pools as well as a parking area. This state of the art villa has an impressive driveway leading to a representative interior courtyard.","Air Conditioning,Alarm System,Balcony,Barbecue,Central Heating,Double Glazing,Dressing Room,Electric Entry Phone,Fireplace,Fitted Wardrobes,Laundry room,Living room with dining area,Pantry,Reinforced door,Satellite TV,Smart Home,Solarium,Storeroom,Underfloor Heating",39.4811,2.52351,"17,521,175,221,752,300,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
1069,87.0,97.0,10.0,4900000.0,,6.0,6.0,,604.0,1907.0,100.0,Villa for sale in Son Vida,This magnificent villais accessed via a sweeping driveway down to the entrance of the house and parking area. There are two covered parking spaces plus room for a further 3 more cars. The property has terraces on all of the levels to make the most of the unbeatable panoramic views of the sea. The garden has a solarium with a fabulous swimming pool and bar.,"Air Conditioning Hot/Cold,Alarm System,Bar,Built to High Standards,Central Heating,Completely Equipped Kitchen,Double Glazing,Dressing Room,En suite bathroom,Fireplace,Fitted Wardrobes,Immaculate Condition,Kitchen diner,Laundry room,Prestige Property,Solarium,Staff Accommodations,Storeroom",39.5895,2.59164,"19,350,193,511,935,200,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
1173,87.0,15.0,4.0,4500000.0,,4.0,4.0,,522.0,37294.0,98.0,Finca for sale in Puerto Andratx,"Boasting stunning panoramic views over the entire harbour of Puerto de Andratx, this luxury finca enjoys an unequalled elevated situation. Despite its secluded setting, it is only minutes away from the exclusive marina “Club de Vela” and the waterfront promenade.",nan,39.5705,2.42081,"2,102,521,026,210,270,000,000,000,000,000,000,000,000,000,000,000,000,000"
1435,87.0,97.0,10.0,3950000.0,,6.0,5.0,,512.0,2000.0,239.0,Villa for sale in Son Vida,"This luxury villa is newly built and stands out for its modern architecture, its high quality installations and its elevated position in Son Vida, give it a really impressive view over the city of Palma de Mallorca and the mountain. Thanks to its southwest orientation it enjoys sunlight all day long.","Air Conditioning,Alarm System,Automatic Irrigation System,Central Heating,Double Glazing,Electric Entry Phone,Fitted Wardrobes,Guest Apartment,Jacuzzi,Laundry room,Living room with dining area,Marble,Pantry,Reinforced door,Satellite TV,Smart Home,Solar Panels,Solarium,Storeroom,Underfloor Heating",39.5895,2.59164,"2,550,725,508,255,090,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
1610,87.0,85.0,7.0,3150000.0,,7.0,4.0,,399.0,,39.0,Penthouse for sale in La Llotja,"Boasting a privileged, unique location on top of the city wall, this enormous penthouse is situated in the Old Town, frontline to the harbour of Palma. The exquisite restaurants and bars of La Lonja as well as the Museum of Contemporary Art Es Baluard and the yachting harbour Real Club Nautico are literally only steps away.","Balcony,Central Heating,Dressing Room,Electric Entry Phone,Fireplace,Fitted Wardrobes,Guest Apartment,Laundry room,Lift,Living room with dining area,Pantry,Reinforced door,Solarium,Some restoration needed,Storeroom",42.2605,3.1793,"28,465,284,662,846,700,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
1886,62.0,73.0,4.0,2650000.0,,5.0,5.0,850.0,850.0,7000.0,300.0,Romantic finca with private location in Pina,"Beautiful country home, partly dating back to 1310, with a total of 750 sqm and 300 sqm of terraces. Carefully refurbished in high quality materials with a spacious living area with lounge, fireplace and dining area. There are five bedrooms and five bathrooms. Truly lovely garden with many romantic features, an historical well as well as a wonderful pool. A home to fall in love with!","Pool,Parking,Terrace,High End Selection,Shower,Bathtub,A/C,Heating,Fireplace,Balcony,Garden,Storage",39.6003,2.92321,"3,305,033,051,330,520,000,000,000"
1935,87.0,12.0,4.0,2150000.0,,4.0,4.0,,750.0,37684.0,700.0,Finca for sale in Sa Coma,"This extraordinary and elegant country house is to be found in the area of Sa Coma, one of the most sought after places on the island and which is very near the village of Andratx, which can be reached on foot in a very short time. The property stands in a plot of about 37.684 m2 with truly unbeatable views. It boasts an extensive terrace with an impressive 700 m2, a marvellous garden area, a fantastic swimming pool, a barbecue zone and 2 parking places.","2 Parking Places,Barbecue,Double Glazing,Dressing Room,Fireplace,Fitted Wardrobes,Floor Heating,Gallery,Living room with dining area,Pantry,Smart Home,Underfloor Heating,Walking distance to t. centre,Wine Cellar,Wood Carpentry",39.5759,3.3729,"33,829,338,303,383,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2020,87.0,27.0,10.0,3600000.0,,4.0,4.0,,500.0,2743.0,100.0,Villa for sale in Santa Ponsa,"Luxury villa in Santa Ponsa, locality next to the Mediterranean coast of Calvia, very near Palma de Majorca. This villa has a constructed surface area of 601m2 which includes 100m2 of terraces. The rooms include 4 bedrooms, 4 bathrooms and a cloakroom. The property also enjoys an independent kitchen, garage for 2 vehicles, swimming pool and garden and faces towards the south east. Other installations include air conditioning, an apartment for guests, fitted wardrobes, barbecue, fireplace, double glazing, jacuzzi, sauna, alarm system, under floor heating, laundry room, dresser and storeroom.","Air Conditioning,Alarm System,Barbecue,Double Glazing,Dressing Room,Electric Entry Phone,Fireplace,Fitted Wardrobes,Guest Apartment,Jacuzzi,Laundry room,Satellite TV,Sauna,Storeroom,Underfloor Heating",39.5029,2.47154,"35,268,352,693,527,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2044,87.0,18.0,10.0,3500000.0,,4.0,4.0,,522.0,1600.0,96.0,Villa for sale in Bendinat,"Luxury villa in Bendinat, Calvia, an exclusive and peaceful residential zone with all the services close at hand in the capital of Majorca.","Air Conditioning,Alarm System,Balcony,Barbecue,Double Glazing,Dressing Room,Electric Entry Phone,Fireplace,Fitted Wardrobes,Guest Apartment,Jacuzzi,Laundry room,Marble,Pantry,Possibility to install lift,Reinforced door,Renovated,Satellite TV,Sauna,Smart Home,Snooker Room,Solarium,Storeroom,Wine Cellar",39.5364,2.5799,"35,595,355,963,559,700,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2382,87.0,22.0,10.0,3395000.0,,7.0,5.0,,380.0,1630.0,180.0,Villa for sale in Torrenova,"Situated in a great position front line to the sea in the residential area of Torrenova in the municipality of Calvia, this beautiful villa boasts fantastic views over the Mediterranean Sea and along the coast of Majorca. Several sandy beaches can be found in the surrounding area, while Palma is only about 15 minutes away by car.","Access to Sea,Air Conditioning,Alarm System,Central Heating,Double Glazing,Dressing Room,Fireplace,Fitted Wardrobes,Guest Apartment,Laundry room,Living room with dining area,Marble,Reinforced door,Renovated,Satellite TV,Storeroom,Well Water",39.511,2.5412,"41,163,411,644,116,500,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
2464,87.0,97.0,10.0,2750000.0,,6.0,4.0,,750.0,3300.0,200.0,Villa for sale in Son Vida,"The luxury villa is some 950sq m and is set on a plot of 3.300 sq m and is situated front line to the golf course in the privileged area of Son Vida, and is only 5 minutes to Palma by car.","Air Conditioning,Barbecue,Central Heating,Double Glazing,Dressing Room,Fireplace,Fitted Wardrobes,Guest Apartment,Laundry room,Lounge,Pantry,Reinforced door,Sauna,Some restoration needed,Storeroom,Wine Cellar",39.5895,2.59164,"4,258,742,588,425,890,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
